City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
152,Lata,40.1629,-8.3327,63.81,84,33,2.01,PT,scattered clouds
153,Phangnga,8.4509,98.5298,77.04,92,100,2.51,TH,light rain
154,Guerrero Negro,27.9769,-114.0611,73.36,68,2,11.34,MX,clear sky
155,Axim,4.8699,-2.2405,75.56,92,11,6.76,GH,few clouds
156,Kilindoni,-7.9139,39.6668,75.56,72,11,13.8,TZ,few clouds
157,Nautla,20.2167,-96.7833,76.78,84,66,3.85,MX,broken clouds
158,Najran,17.4924,44.1277,77.65,27,69,2.17,SA,broken clouds
159,Naliya,23.2667,68.8333,79.09,75,16,10.63,IN,few clouds
160,Omsukchan,62.5333,155.8,14.65,83,100,8.97,RU,overcast clouds
161,Tagusao,9.1924,117.8141,81.77,80,100,2.13,PH,overcast clouds
162,Saint-Georges,12.0564,-61.7485,80.28,83,75,20.71,GD,broken clouds
163,Palasa,18.7667,84.4167,77.54,89,100,3.74,IN,overcast clouds
164,Biak,-0.9131,122.8766,80.69,73,100,0.85,ID,light rain
165,Cabanbanan,14.2404,121.4341,81.72,80,98,7.67,PH,overcast clouds
166,Fukue,32.6881,128.8419,64.76,94,75,6.91,JP,broken clouds
167,Dingle,10.9995,122.6711,81.93,82,100,6.78,PH,overcast clouds
168,Izumo,35.3667,132.7667,66.15,68,75,11.5,JP,broken clouds
169,Oga,46.4631,10.347,48.81,83,59,2.24,IT,broken clouds
170,Orcopampa,-15.2661,-72.3417,43.7,38,4,6.11,PE,clear sky
171,Anadyr,64.75,177.4833,45.1,93,20,22.37,RU,light rain
172,Kaduqli,11.0167,29.7167,71.76,91,100,3.78,SD,overcast clouds
173,Piranshahr,36.701,45.1413,61.27,26,0,1.92,IR,clear sky
174,Sayat,38.7839,63.8803,51.67,29,0,11.25,TM,clear sky
175,Mao,39.8885,4.2658,68.56,83,0,4.61,ES,clear sky
176,Avera,33.194,-82.5271,69.31,35,5,1.79,US,clear sky
177,Ucluelet,48.9329,-125.5528,66.51,85,66,4.0,CA,broken clouds
178,Baiao,-2.7906,-49.6717,82.83,57,61,4.29,BR,broken clouds
179,Rudbar,30.15,62.6,65.97,17,0,9.22,AF,clear sky
180,Egvekinot,66.3167,-179.1667,35.2,99,100,13.38,RU,snow
181,Loandjili,-4.7561,11.8578,76.35,87,100,9.04,CG,overcast clouds
182,Maple Creek,49.9168,-109.4848,66.61,41,99,19.57,CA,overcast clouds
183,Togur,58.3631,82.8265,37.06,86,100,5.68,RU,overcast clouds
184,Pedernales,18.0384,-71.744,81.88,79,68,3.62,DO,broken clouds
185,Tignoan,14.5647,121.6197,81.01,82,98,9.4,PH,overcast clouds
186,Faya,18.3851,42.4509,69.91,31,25,5.86,SA,scattered clouds
187,Lovozero,68.005,35.0117,43.43,98,94,7.16,RU,overcast clouds
188,Sobolevo,54.4299,31.8996,46.94,95,100,7.58,RU,overcast clouds
189,Yura,-16.2522,-71.6797,57.72,25,0,8.05,PE,clear sky
190,Kouango,4.9934,19.9619,71.1,95,100,1.81,CF,overcast clouds
191,Mugan,35.9404,101.3842,45.95,83,100,5.21,CN,light rain
192,Van,38.4924,43.3831,69.15,18,20,13.8,TR,few clouds
